,task,submission,n_rows,path,fold
40,03340,022865308,29,/Dataset/group22/processed/more_cpp_2/results/p03340_s022865308.opcstats,train
41,03274,027043811,21,/Dataset/group22/processed/more_cpp_2/results/p03274_s027043811.opcstats,train
42,02272,042222117,67,/Dataset/group22/processed/more_cpp_2/results/p02272_s042222117.opcstats,train
43,00728,031920636,44,/Dataset/group22/processed/more_cpp_2/results/p00728_s031920636.opcstats,train
44,02262,022004556,28,/Dataset/group22/processed/more_cpp_2/results/p02262_s022004556.opcstats,eval
45,02266,023628695,46,/Dataset/group22/processed/more_cpp_2/results/p02266_s023628695.opcstats,eval
46,03289,006307220,12,/Dataset/group22/processed/more_cpp_2/results/p03289_s006307220.opcstats,eval
47,02761,061602111,72,/Dataset/group22/processed/more_cpp_2/results/p02761_s061602111.opcstats,eval
48,03822,027942247,47,/Dataset/group22/processed/more_cpp_2/results/p03822_s027942247.opcstats,train
49,03320,032565861,16,/Dataset/group22/processed/more_cpp_2/results/p03320_s032565861.opcstats,train
50,03698,052280332,15,/Dataset/group22/processed/more_cpp_2/results/p03698_s052280332.opcstats,train
51,02631,018224776,13,/Dataset/group22/processed/more_cpp_2/results/p02631_s018224776.opcstats,eval
52,02843,055218370,11,/Dataset/group22/processed/more_cpp_2/results/p02843_s055218370.opcstats,train
53,03470,014433101,22,/Dataset/group22/processed/more_cpp_2/results/p03470_s014433101.opcstats,train
54,03703,012267172,84,/Dataset/group22/processed/more_cpp_2/results/p03703_s012267172.opcstats,train
55,03574,001832254,47,/Dataset/group22/processed/more_cpp_2/results/p03574_s001832254.opcstats,train
56,02899,010436987,43,/Dataset/group22/processed/more_cpp_2/results/p02899_s010436987.opcstats,train
57,03809,000857012,25,/Dataset/group22/processed/more_cpp_2/results/p03809_s000857012.opcstats,train
58,03577,063242581,15,/Dataset/group22/processed/more_cpp_2/results/p03577_s063242581.opcstats,train
59,03340,022047459,13,/Dataset/group22/processed/more_cpp_2/results/p03340_s022047459.opcstats,train
60,02363,028474323,14,/Dataset/group22/processed/more_cpp_2/results/p02363_s028474323.opcstats,train
61,02866,002527248,14,/Dataset/group22/processed/more_cpp_2/results/p02866_s002527248.opcstats,test
62,03178,006093828,11,/Dataset/group22/processed/more_cpp_2/results/p03178_s006093828.opcstats,train
63,03007,012045356,45,/Dataset/group22/processed/more_cpp_2/results/p03007_s012045356.opcstats,train
64,02863,076506185,49,/Dataset/group22/processed/more_cpp_2/results/p02863_s076506185.opcstats,eval
65,03607,035448800,23,/Dataset/group22/processed/more_cpp_2/results/p03607_s035448800.opcstats,train
66,03547,006552147,11,/Dataset/group22/processed/more_cpp_2/results/p03547_s006552147.opcstats,train
67,03385,006784289,12,/Dataset/group22/processed/more_cpp_2/results/p03385_s006784289.opcstats,train
68,02732,033022161,50,/Dataset/group22/processed/more_cpp_2/results/p02732_s033022161.opcstats,test
69,04028,041615902,11,/Dataset/group22/processed/more_cpp_2/results/p04028_s041615902.opcstats,train
70,02991,016560274,45,/Dataset/group22/processed/more_cpp_2/results/p02991_s016560274.opcstats,train
71,02848,009580156,22,/Dataset/group22/processed/more_cpp_2/results/p02848_s009580156.opcstats,train
72,01554,043371202,47,/Dataset/group22/processed/more_cpp_2/results/p01554_s043371202.opcstats,train
73,02608,002662574,14,/Dataset/group22/processed/more_cpp_2/results/p02608_s002662574.opcstats,train
74,03430,041961141,24,/Dataset/group22/processed/more_cpp_2/results/p03430_s041961141.opcstats,eval
75,03015,017551739,35,/Dataset/group22/processed/more_cpp_2/results/p03015_s017551739.opcstats,eval
76,03841,058886116,26,/Dataset/group22/processed/more_cpp_2/results/p03841_s058886116.opcstats,eval
77,03566,022770981,29,/Dataset/group22/processed/more_cpp_2/results/p03566_s022770981.opcstats,train
78,02370,025811267,32,/Dataset/group22/processed/more_cpp_2/results/p02370_s025811267.opcstats,train
79,02676,043490778,30,/Dataset/group22/processed/more_cpp_2/results/p02676_s043490778.opcstats,eval
80,02362,018728885,21,/Dataset/group22/processed/more_cpp_2/results/p02362_s018728885.opcstats,eval
81,03588,025193581,38,/Dataset/group22/processed/more_cpp_2/results/p03588_s025193581.opcstats,train
82,03570,018268495,15,/Dataset/group22/processed/more_cpp_2/results/p03570_s018268495.opcstats,train
83,03141,029129624,42,/Dataset/group22/processed/more_cpp_2/results/p03141_s029129624.opcstats,train
84,03496,018234878,42,/Dataset/group22/processed/more_cpp_2/results/p03496_s018234878.opcstats,train
85,03293,004398635,55,/Dataset/group22/processed/more_cpp_2/results/p03293_s004398635.opcstats,train
86,00718,069036783,94,/Dataset/group22/processed/more_cpp_2/results/p00718_s069036783.opcstats,train
87,02689,000194939,13,/Dataset/group22/processed/more_cpp_2/results/p02689_s000194939.opcstats,test
88,02665,001865931,31,/Dataset/group22/processed/more_cpp_2/results/p02665_s001865931.opcstats,train
89,03074,041951637,38,/Dataset/group22/processed/more_cpp_2/results/p03074_s041951637.opcstats,train
90,02277,008103515,13,/Dataset/group22/processed/more_cpp_2/results/p02277_s008103515.opcstats,train
91,02844,044841245,19,/Dataset/group22/processed/more_cpp_2/results/p02844_s044841245.opcstats,train
92,00000,067647311,23,/Dataset/group22/processed/more_cpp_2/results/p00000_s067647311.opcstats,train
93,02773,026216040,55,/Dataset/group22/processed/more_cpp_2/results/p02773_s026216040.opcstats,train
94,03208,029703698,41,/Dataset/group22/processed/more_cpp_2/results/p03208_s029703698.opcstats,test
95,02919,001742408,57,/Dataset/group22/processed/more_cpp_2/results/p02919_s001742408.opcstats,train
96,02255,000095942,14,/Dataset/group22/processed/more_cpp_2/results/p02255_s000095942.opcstats,train
97,03212,047753009,26,/Dataset/group22/processed/more_cpp_2/results/p03212_s047753009.opcstats,train
98,02939,034239106,21,/Dataset/group22/processed/more_cpp_2/results/p02939_s034239106.opcstats,train
99,03649,043174132,16,/Dataset/group22/processed/more_cpp_2/results/p03649_s043174132.opcstats,train
100,03141,041799508,53,/Dataset/group22/processed/more_cpp_2/results/p03141_s041799508.opcstats,train
101,03289,000359495,11,/Dataset/group22/processed/more_cpp_2/results/p03289_s000359495.opcstats,eval
102,02890,021406028,56,/Dataset/group22/processed/more_cpp_2/results/p02890_s021406028.opcstats,test
103,03370,016559846,41,/Dataset/group22/processed/more_cpp_2/results/p03370_s016559846.opcstats,train
104,02911,028264533,11,/Dataset/group22/processed/more_cpp_2/results/p02911_s028264533.opcstats,train
105,02284,022776353,21,/Dataset/group22/processed/more_cpp_2/results/p02284_s022776353.opcstats,test
106,03202,013737801,16,/Dataset/group22/processed/more_cpp_2/results/p03202_s013737801.opcstats,train
107,03167,008246523,14,/Dataset/group22/processed/more_cpp_2/results/p03167_s008246523.opcstats,train
108,02923,051364767,13,/Dataset/group22/processed/more_cpp_2/results/p02923_s051364767.opcstats,train
109,03213,027897000,35,/Dataset/group22/processed/more_cpp_2/results/p03213_s027897000.opcstats,train
110,03363,019110394,41,/Dataset/group22/processed/more_cpp_2/results/p03363_s019110394.opcstats,train
111,03402,043809984,11,/Dataset/group22/processed/more_cpp_2/results/p03402_s043809984.opcstats,eval
112,02289,030339808,12,/Dataset/group22/processed/more_cpp_2/results/p02289_s030339808.opcstats,test
113,03954,024255483,30,/Dataset/group22/processed/more_cpp_2/results/p03954_s024255483.opcstats,train
114,03390,062836800,14,/Dataset/group22/processed/more_cpp_2/results/p03390_s062836800.opcstats,test
115,04006,049669716,23,/Dataset/group22/processed/more_cpp_2/results/p04006_s049669716.opcstats,train
116,02761,010106687,42,/Dataset/group22/processed/more_cpp_2/results/p02761_s010106687.opcstats,eval
117,03800,004693592,69,/Dataset/group22/processed/more_cpp_2/results/p03800_s004693592.opcstats,train
118,03470,048430949,12,/Dataset/group22/processed/more_cpp_2/results/p03470_s048430949.opcstats,train
119,02642,046000680,47,/Dataset/group22/processed/more_cpp_2/results/p02642_s046000680.opcstats,train
120,03662,034418006,16,/Dataset/group22/processed/more_cpp_2/results/p03662_s034418006.opcstats,train
121,03092,057208676,12,/Dataset/group22/processed/more_cpp_2/results/p03092_s057208676.opcstats,train
122,02785,023542061,40,/Dataset/group22/processed/more_cpp_2/results/p02785_s023542061.opcstats,test
123,03465,003312243,20,/Dataset/group22/processed/more_cpp_2/results/p03465_s003312243.opcstats,eval
124,03137,034916313,35,/Dataset/group22/processed/more_cpp_2/results/p03137_s034916313.opcstats,train
125,03598,014144564,12,/Dataset/group22/processed/more_cpp_2/results/p03598_s014144564.opcstats,eval
126,02274,035595993,15,/Dataset/group22/processed/more_cpp_2/results/p02274_s035595993.opcstats,train
127,03739,052613430,26,/Dataset/group22/processed/more_cpp_2/results/p03739_s052613430.opcstats,test
128,03671,075428809,40,/Dataset/group22/processed/more_cpp_2/results/p03671_s075428809.opcstats,train
129,03364,036681573,34,/Dataset/group22/processed/more_cpp_2/results/p03364_s036681573.opcstats,eval
130,03339,049012152,14,/Dataset/group22/processed/more_cpp_2/results/p03339_s049012152.opcstats,train
131,03289,048650269,833,/Dataset/group22/processed/more_cpp_2/results/p03289_s048650269.opcstats,eval
132,03287,036563986,29,/Dataset/group22/processed/more_cpp_2/results/p03287_s036563986.opcstats,test
133,03026,048657433,47,/Dataset/group22/processed/more_cpp_2/results/p03026_s048657433.opcstats,train
134,03853,006855593,30,/Dataset/group22/processed/more_cpp_2/results/p03853_s006855593.opcstats,eval
135,02987,012725317,22,/Dataset/group22/processed/more_cpp_2/results/p02987_s012725317.opcstats,train
136,02997,029652495,19,/Dataset/group22/processed/more_cpp_2/results/p02997_s029652495.opcstats,test
137,03680,009978559,13,/Dataset/group22/processed/more_cpp_2/results/p03680_s009978559.opcstats,eval
138,03739,043394773,22,/Dataset/group22/processed/more_cpp_2/results/p03739_s043394773.opcstats,test
139,04017,018712835,20,/Dataset/group22/processed/more_cpp_2/results/p04017_s018712835.opcstats,eval
140,03137,033179311,71,/Dataset/group22/processed/more_cpp_2/results/p03137_s033179311.opcstats,train
141,03266,020186587,11,/Dataset/group22/processed/more_cpp_2/results/p03266_s020186587.opcstats,train
142,03393,057143988,36,/Dataset/group22/processed/more_cpp_2/results/p03393_s057143988.opcstats,eval
143,02721,057401558,12,/Dataset/group22/processed/more_cpp_2/results/p02721_s057401558.opcstats,test
144,00718,015343541,40,/Dataset/group22/processed/more_cpp_2/results/p00718_s015343541.opcstats,train
145,03060,018552862,13,/Dataset/group22/processed/more_cpp_2/results/p03060_s018552862.opcstats,test
146,02631,009069188,11,/Dataset/group22/processed/more_cpp_2/results/p02631_s009069188.opcstats,eval
147,02791,037979220,15,/Dataset/group22/processed/more_cpp_2/results/p02791_s037979220.opcstats,eval
148,03780,032450202,51,/Dataset/group22/processed/more_cpp_2/results/p03780_s032450202.opcstats,train
149,02722,046784585,15,/Dataset/group22/processed/more_cpp_2/results/p02722_s046784585.opcstats,train
150,03353,047623065,95,/Dataset/group22/processed/more_cpp_2/results/p03353_s047623065.opcstats,eval
151,03006,061744740,31,/Dataset/group22/processed/more_cpp_2/results/p03006_s061744740.opcstats,train
152,02714,021955083,21,/Dataset/group22/processed/more_cpp_2/results/p02714_s021955083.opcstats,test
153,03142,010054347,59,/Dataset/group22/processed/more_cpp_2/results/p03142_s010054347.opcstats,train
154,03090,050139198,16,/Dataset/group22/processed/more_cpp_2/results/p03090_s050139198.opcstats,train
155,03194,056242933,18,/Dataset/group22/processed/more_cpp_2/results/p03194_s056242933.opcstats,train
156,03834,053353776,22,/Dataset/group22/processed/more_cpp_2/results/p03834_s053353776.opcstats,eval
157,03729,043864897,15,/Dataset/group22/processed/more_cpp_2/results/p03729_s043864897.opcstats,train
158,03565,032152040,102,/Dataset/group22/processed/more_cpp_2/results/p03565_s032152040.opcstats,train
159,01554,024655859,53,/Dataset/group22/processed/more_cpp_2/results/p01554_s024655859.opcstats,train
160,02744,040425269,50,/Dataset/group22/processed/more_cpp_2/results/p02744_s040425269.opcstats,train
161,02421,032761253,11,/Dataset/group22/processed/more_cpp_2/results/p02421_s032761253.opcstats,eval
162,02687,012034048,13,/Dataset/group22/processed/more_cpp_2/results/p02687_s012034048.opcstats,train
163,02663,006144495,16,/Dataset/group22/processed/more_cpp_2/results/p02663_s006144495.opcstats,train
164,03543,011805530,16,/Dataset/group22/processed/more_cpp_2/results/p03543_s011805530.opcstats,eval
165,02920,034878773,14,/Dataset/group22/processed/more_cpp_2/results/p02920_s034878773.opcstats,train
166,03696,050530686,33,/Dataset/group22/processed/more_cpp_2/results/p03696_s050530686.opcstats,train
167,02411,002632262,15,/Dataset/group22/processed/more_cpp_2/results/p02411_s002632262.opcstats,train
168,01125,017039842,28,/Dataset/group22/processed/more_cpp_2/results/p01125_s017039842.opcstats,train
169,03920,003885812,15,/Dataset/group22/processed/more_cpp_2/results/p03920_s003885812.opcstats,eval
170,04020,016028515,13,/Dataset/group22/processed/more_cpp_2/results/p04020_s016028515.opcstats,train
171,03043,023140639,35,/Dataset/group22/processed/more_cpp_2/results/p03043_s023140639.opcstats,train
172,02958,054477683,45,/Dataset/group22/processed/more_cpp_2/results/p02958_s054477683.opcstats,eval
173,03804,012592835,23,/Dataset/group22/processed/more_cpp_2/results/p03804_s012592835.opcstats,test
174,02730,029823142,13,/Dataset/group22/processed/more_cpp_2/results/p02730_s029823142.opcstats,train
175,03437,031988375,41,/Dataset/group22/processed/more_cpp_2/results/p03437_s031988375.opcstats,train
176,02255,046217073,18,/Dataset/group22/processed/more_cpp_2/results/p02255_s046217073.opcstats,train
177,03254,001267958,49,/Dataset/group22/processed/more_cpp_2/results/p03254_s001267958.opcstats,train
178,02830,052576689,41,/Dataset/group22/processed/more_cpp_2/results/p02830_s052576689.opcstats,train
179,03216,027701153,11,/Dataset/group22/processed/more_cpp_2/results/p03216_s027701153.opcstats,train
180,03920,036556127,14,/Dataset/group22/processed/more_cpp_2/results/p03920_s036556127.opcstats,eval
181,03201,030783953,35,/Dataset/group22/processed/more_cpp_2/results/p03201_s030783953.opcstats,train
182,00013,026584659,15,/Dataset/group22/processed/more_cpp_2/results/p00013_s026584659.opcstats,train
183,02890,046616601,19,/Dataset/group22/processed/more_cpp_2/results/p02890_s046616601.opcstats,test
184,02382,000757377,16,/Dataset/group22/processed/more_cpp_2/results/p02382_s000757377.opcstats,train
185,02910,049935829,32,/Dataset/group22/processed/more_cpp_2/results/p02910_s049935829.opcstats,train
186,03216,026585824,26,/Dataset/group22/processed/more_cpp_2/results/p03216_s026585824.opcstats,train
187,03211,026513929,23,/Dataset/group22/processed/more_cpp_2/results/p03211_s026513929.opcstats,train
188,02422,010308146,47,/Dataset/group22/processed/more_cpp_2/results/p02422_s010308146.opcstats,train
189,02608,011794170,16,/Dataset/group22/processed/more_cpp_2/results/p02608_s011794170.opcstats,train
190,03570,020543629,52,/Dataset/group22/processed/more_cpp_2/results/p03570_s020543629.opcstats,train
191,03569,006756655,39,/Dataset/group22/processed/more_cpp_2/results/p03569_s006756655.opcstats,train
192,02601,025636277,87,/Dataset/group22/processed/more_cpp_2/results/p02601_s025636277.opcstats,train
193,03699,042142414,44,/Dataset/group22/processed/more_cpp_2/results/p03699_s042142414.opcstats,train
194,02237,025980580,31,/Dataset/group22/processed/more_cpp_2/results/p02237_s025980580.opcstats,test
195,04031,052874238,16,/Dataset/group22/processed/more_cpp_2/results/p04031_s052874238.opcstats,train
196,03289,005400685,11,/Dataset/group22/processed/more_cpp_2/results/p03289_s005400685.opcstats,eval
197,02722,047063966,83,/Dataset/group22/processed/more_cpp_2/results/p02722_s047063966.opcstats,train
198,03617,013288686,44,/Dataset/group22/processed/more_cpp_2/results/p03617_s013288686.opcstats,train
199,04020,014495419,15,/Dataset/group22/processed/more_cpp_2/results/p04020_s014495419.opcstats,train
200,02691,034104029,39,/Dataset/group22/processed/more_cpp_2/results/p02691_s034104029.opcstats,eval
201,03470,030544910,44,/Dataset/group22/processed/more_cpp_2/results/p03470_s030544910.opcstats,train
202,03390,048056991,11,/Dataset/group22/processed/more_cpp_2/results/p03390_s048056991.opcstats,test
203,03769,051746205,24,/Dataset/group22/processed/more_cpp_2/results/p03769_s051746205.opcstats,eval
204,03584,035560246,18,/Dataset/group22/processed/more_cpp_2/results/p03584_s035560246.opcstats,train
205,03816,048075096,39,/Dataset/group22/processed/more_cpp_2/results/p03816_s048075096.opcstats,eval
206,02615,032494298,78,/Dataset/group22/processed/more_cpp_2/results/p02615_s032494298.opcstats,train
207,03054,023314947,31,/Dataset/group22/processed/more_cpp_2/results/p03054_s023314947.opcstats,train
208,02888,031532953,45,/Dataset/group22/processed/more_cpp_2/results/p02888_s031532953.opcstats,train
209,02585,017758838,65,/Dataset/group22/processed/more_cpp_2/results/p02585_s017758838.opcstats,train
210,03269,042361995,24,/Dataset/group22/processed/more_cpp_2/results/p03269_s042361995.opcstats,train
211,03769,020286696,79,/Dataset/group22/processed/more_cpp_2/results/p03769_s020286696.opcstats,eval
212,03147,017147233,24,/Dataset/group22/processed/more_cpp_2/results/p03147_s017147233.opcstats,train
213,00424,045774259,33,/Dataset/group22/processed/more_cpp_2/results/p00424_s045774259.opcstats,train
214,03475,055269780,14,/Dataset/group22/processed/more_cpp_2/results/p03475_s055269780.opcstats,train
215,03076,051521757,15,/Dataset/group22/processed/more_cpp_2/results/p03076_s051521757.opcstats,eval
216,02631,056214588,13,/Dataset/group22/processed/more_cpp_2/results/p02631_s056214588.opcstats,eval
217,03212,049357373,56,/Dataset/group22/processed/more_cpp_2/results/p03212_s049357373.opcstats,train
218,02973,004138313,23,/Dataset/group22/processed/more_cpp_2/results/p02973_s004138313.opcstats,test
219,03254,049265406,43,/Dataset/group22/processed/more_cpp_2/results/p03254_s049265406.opcstats,train
220,02788,014067146,63,/Dataset/group22/processed/more_cpp_2/results/p02788_s014067146.opcstats,eval
221,03111,032608628,59,/Dataset/group22/processed/more_cpp_2/results/p03111_s032608628.opcstats,train
222,02796,011375195,40,/Dataset/group22/processed/more_cpp_2/results/p02796_s011375195.opcstats,train
223,02953,015439173,41,/Dataset/group22/processed/more_cpp_2/results/p02953_s015439173.opcstats,train
224,02873,067826996,18,/Dataset/group22/processed/more_cpp_2/results/p02873_s067826996.opcstats,train
225,03215,008026859,44,/Dataset/group22/processed/more_cpp_2/results/p03215_s008026859.opcstats,train
226,03972,025742890,42,/Dataset/group22/processed/more_cpp_2/results/p03972_s025742890.opcstats,train
227,02271,050203304,42,/Dataset/group22/processed/more_cpp_2/results/p02271_s050203304.opcstats,eval
228,02916,044896831,15,/Dataset/group22/processed/more_cpp_2/results/p02916_s044896831.opcstats,train
229,03038,010851150,32,/Dataset/group22/processed/more_cpp_2/results/p03038_s010851150.opcstats,train
230,03326,032137397,47,/Dataset/group22/processed/more_cpp_2/results/p03326_s032137397.opcstats,train
231,03038,029223626,31,/Dataset/group22/processed/more_cpp_2/results/p03038_s029223626.opcstats,train
232,03672,062720996,19,/Dataset/group22/processed/more_cpp_2/results/p03672_s062720996.opcstats,train
233,03534,015579986,11,/Dataset/group22/processed/more_cpp_2/results/p03534_s015579986.opcstats,train
234,03626,005732000,28,/Dataset/group22/processed/more_cpp_2/results/p03626_s005732000.opcstats,test
235,03239,023052637,23,/Dataset/group22/processed/more_cpp_2/results/p03239_s023052637.opcstats,train
236,02467,046450448,42,/Dataset/group22/processed/more_cpp_2/results/p02467_s046450448.opcstats,train
237,03486,041008081,93,/Dataset/group22/processed/more_cpp_2/results/p03486_s041008081.opcstats,train
238,03317,007442417,11,/Dataset/group22/processed/more_cpp_2/results/p03317_s007442417.opcstats,train
239,03361,041055219,28,/Dataset/group22/processed/more_cpp_2/results/p03361_s041055219.opcstats,eval
240,02691,019858296,29,/Dataset/group22/processed/more_cpp_2/results/p02691_s019858296.opcstats,eval
241,03836,047993626,44,/Dataset/group22/processed/more_cpp_2/results/p03836_s047993626.opcstats,train
242,02959,050334843,14,/Dataset/group22/processed/more_cpp_2/results/p02959_s050334843.opcstats,train
243,03658,023855352,52,/Dataset/group22/processed/more_cpp_2/results/p03658_s023855352.opcstats,train
244,03138,001235466,24,/Dataset/group22/processed/more_cpp_2/results/p03138_s001235466.opcstats,test
245,02844,050199693,31,/Dataset/group22/processed/more_cpp_2/results/p02844_s050199693.opcstats,train
246,03209,049711389,51,/Dataset/group22/processed/more_cpp_2/results/p03209_s049711389.opcstats,train
247,02418,031180687,54,/Dataset/group22/processed/more_cpp_2/results/p02418_s031180687.opcstats,train
248,02735,023044293,25,/Dataset/group22/processed/more_cpp_2/results/p02735_s023044293.opcstats,train
249,03340,056763815,21,/Dataset/group22/processed/more_cpp_2/results/p03340_s056763815.opcstats,train
250,03714,016379625,25,/Dataset/group22/processed/more_cpp_2/results/p03714_s016379625.opcstats,train
251,02718,002877599,14,/Dataset/group22/processed/more_cpp_2/results/p02718_s002877599.opcstats,train
252,03457,004056685,19,/Dataset/group22/processed/more_cpp_2/results/p03457_s004056685.opcstats,train
253,03919,072247342,11,/Dataset/group22/processed/more_cpp_2/results/p03919_s072247342.opcstats,train
254,03822,042267203,49,/Dataset/group22/processed/more_cpp_2/results/p03822_s042267203.opcstats,train
255,03061,049277250,17,/Dataset/group22/processed/more_cpp_2/results/p03061_s049277250.opcstats,eval
256,03409,066868023,81,/Dataset/group22/processed/more_cpp_2/results/p03409_s066868023.opcstats,train
257,02370,056457154,23,/Dataset/group22/processed/more_cpp_2/results/p02370_s056457154.opcstats,train
258,03816,046173791,13,/Dataset/group22/processed/more_cpp_2/results/p03816_s046173791.opcstats,eval
259,02883,027185642,84,/Dataset/group22/processed/more_cpp_2/results/p02883_s027185642.opcstats,train
260,02971,011868537,36,/Dataset/group22/processed/more_cpp_2/results/p02971_s011868537.opcstats,train
261,03149,025003829,55,/Dataset/group22/processed/more_cpp_2/results/p03149_s025003829.opcstats,train
262,03953,019442705,13,/Dataset/group22/processed/more_cpp_2/results/p03953_s019442705.opcstats,train
263,02883,046344439,75,/Dataset/group22/processed/more_cpp_2/results/p02883_s046344439.opcstats,train
264,03049,023001562,15,/Dataset/group22/processed/more_cpp_2/results/p03049_s023001562.opcstats,train
265,02714,044354727,33,/Dataset/group22/processed/more_cpp_2/results/p02714_s044354727.opcstats,test
266,02279,045927778,11,/Dataset/group22/processed/more_cpp_2/results/p02279_s045927778.opcstats,test
267,03262,024685860,16,/Dataset/group22/processed/more_cpp_2/results/p03262_s024685860.opcstats,train
268,03629,006895513,19,/Dataset/group22/processed/more_cpp_2/results/p03629_s006895513.opcstats,test
269,02675,038755088,19,/Dataset/group22/processed/more_cpp_2/results/p02675_s038755088.opcstats,train
270,03739,020558409,12,/Dataset/group22/processed/more_cpp_2/results/p03739_s020558409.opcstats,test
271,00013,036361384,23,/Dataset/group22/processed/more_cpp_2/results/p00013_s036361384.opcstats,train
272,00025,007553473,49,/Dataset/group22/processed/more_cpp_2/results/p00025_s007553473.opcstats,eval
273,03007,016521699,48,/Dataset/group22/processed/more_cpp_2/results/p03007_s016521699.opcstats,train
274,03379,035807810,40,/Dataset/group22/processed/more_cpp_2/results/p03379_s035807810.opcstats,eval
275,03806,013252728,20,/Dataset/group22/processed/more_cpp_2/results/p03806_s013252728.opcstats,train
276,03207,039722057,41,/Dataset/group22/processed/more_cpp_2/results/p03207_s039722057.opcstats,eval
277,03629,044297630,46,/Dataset/group22/processed/more_cpp_2/results/p03629_s044297630.opcstats,test
278,03837,010334547,32,/Dataset/group22/processed/more_cpp_2/results/p03837_s010334547.opcstats,test
279,03089,035833202,24,/Dataset/group22/processed/more_cpp_2/results/p03089_s035833202.opcstats,train
280,02989,050327158,30,/Dataset/group22/processed/more_cpp_2/results/p02989_s050327158.opcstats,test
281,04020,039651615,12,/Dataset/group22/processed/more_cpp_2/results/p04020_s039651615.opcstats,train
282,02317,008812616,17,/Dataset/group22/processed/more_cpp_2/results/p02317_s008812616.opcstats,train
